Name,Internal ID,BC SKU,Display Name,Description,Purchase Description,Vendor Name,Store Display Name,Store Description,Primary Units Type,Primary Stock Unit,Primary Purchase Unit,Primary Sale Unit,Purchase Price
Blend,4370,,,,,,,,,,,,
Cased Goods,4371,,,,,,,,,,,,
7,4373,,Ceili's Cream 50ml Sample 200/cs,Ceili's Cream 50ml Sample 200/cs,,,,,Case(200),Case(200),Case(200),Case(200),
20,4374,,White Owl Whisky 50ml 200/cs,White Owl Whisky 50ml 200/cs,,,,,Case(200),Case(200),Case(200),Case(200),
21,4375,,White Owl Spiced 50ml 200/cs,White Owl Spiced 50ml 200/cs,,,,,Case(200),Case(200),Case(200),Case(200),
22,4376,,White Owl Ginger Lime 50ml 200/cs,White Owl Ginger Lime 50ml 200/cs,,,,,Case(200),Case(200),Case(200),Case(200),
23,4377,,Ninety Whisky 5yr 50ml 200/cs,Ninety Whisky 5yr 50ml 200/cs,,,,,Case(200),Case(200),Case(200),Case(200),
24,4378,,Foothills Vodka 50ml 200/cs,Foothills Vodka 50ml 200/cs,,,,,Case(200),Case(200),Case(200),Case(200),
25,4379,,White Owl Caramel 50ml 200/cs,White Owl Caramel 50ml 200/cs,,,,,Case(200),Case(200),Case(200),Case(200),
26,4380,,White Lightning MAX Vodka 50ml 200/cs,White Lightning MAX Vodka 50ml 200/cs,,,,,Case(200),Case(200),Case(200),Case(200),
28,4381,,WLV MAX Cinnamon 50ml 200/cs,WLV MAX Cinnamon 50ml 200/cs,,,,,Case(200),Case(200),Case(200),Case(200),
2386,4382,2386,Potter's Vodka 375ml 24/cs,Potter's Vodka 375ml 24/cs,,,,,Case(24),Case(24),Case(24),Case(24),
5520,4384,5520,Potter's Special Old Whisky 375ml 24/cs,Potter's Special Old Whisky 375ml 24/cs,,,,,Case(24),Case(24),Case(24),Case(24),
6072,4386,6072,Bols Vodka 750ml 12/cs,Bols Vodka 750ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
9019,4387,9019,Potter's Vodka 750ml 12/cs,Potter's Vodka 750ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
9092,4390,9092,Potter's Special Old Whisky 1140ml 12/cs,Potter's Special Old Whisky 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
10843,4392,,Potter's Dark Rum 750ml 12/cs,Potter's Dark Rum 750ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
11478,4394,11478,Potter's Special Old Whisky 750ml 12/cs,Potter's Special Old Whisky 750ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
13375,4397,13375,Bols Vodka 1140ml 12/cs,Bols Vodka 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
14068,4398,,Sahara Dry Gin 750ml 6/cs,Sahara Dry Gin 750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
14076,4400,14076,Potter's London Dry Gin 1140ml 12/cs,Potter's London Dry Gin 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
14498,4402,14498,Potter's Dark Rum 1140ml 12/cs,Potter's Dark Rum 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
16709,4404,,Marushka Vodka 375ml 24/cs,Marushka Vodka 375ml 24/cs,,,,,Case(24),Case(24),Case(24),Case(24),
19281,4407,19281,Potter's Vodka 1140ml 12/cs,Potter's Vodka 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
27078,4409,,Potter's White Rum 750ml 12/cs,Potter's White Rum 750ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
27458,4412,27458,Potter's White Rum 1140ml 12/cs,Potter's White Rum 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
59176,4414,59176,Simply Vodka 1140ml 12/cs,Simply Vodka 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
CA100232,4415,,Bols Vodka 375ml 24/cs,Bols Vodka 375ml 24/cs,,,,,Case(24),Case(24),Case(24),Case(24),
66373,4416,66373,Milestone's Bellini 1750ml 6/cs,Milestone's Bellini 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
66732,4418,66732,White Lightning MAX Vodka 50ml 60/cs,White Lightning MAX Vodka 50ml 60/cs,,,,,Case(6),Case(6),Case(6),Case(6),
73635PET,4419,,Highwood Whisky 750ml 12/cs,Highwood Whisky 750ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
102572,4422,102572,Simply Vodka 375ml 24/cs,Simply Vodka 375ml 24/cs,,,,,Case(24),Case(24),Case(24),Case(24),
102605,4423,102605,Simply Vodka 750ml 12/cs,Simply Vodka 750ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
104784,4424,104784,True North Vodka Strong 375ml 24/cs,True North Vodka Strong 375ml 24/cs,,,,,Case(24),Case(24),Case(24),Case(24),
110075,4425,110075,Rye on the Rocks 1750ml 6/cs,Rye on the Rocks 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
122325,4426,,Marushka Vodka 1140ml 12/cs,Marushka Vodka 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
122333,4428,,Sahara Dry Gin 1140ml 12/cs,Sahara Dry Gin 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
122358,4430,,Highwood Whisky 1140ml 12/cs,Highwood Whisky 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
160077,4432,160077,Potter's Special Old Whisky 1750ml 6/cs,Potter's Special Old Whisky 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
